date,zscore,exposure,ret,equity
2023-11-15,0.9843637987738179,-0.6000816893993153,-0.0034741459787637815,100080.96491536753
2023-11-16,0.9735202334716145,-0.6052261591856879,-0.0006623983403951258,100014.67145030246
2023-11-17,0.7813351632870027,-0.6031623356838814,0.0016938636967455205,100184.08267141406
2023-11-20,0.3939186224257066,0.0,0.003471051455692597,100531.82677740788
2023-11-21,0.2870025308485133,0.0,0.0,100531.82677740788
2023-11-22,0.37488294901395763,0.0,0.0,100531.82677740788
2023-11-24,0.17528476934822715,0.0,0.0,100531.82677740788
2023-11-27,0.5498596462285047,0.0,0.0,100531.82677740788
2023-11-28,0.18280312056151948,0.0,0.0,100531.82677740788
2023-11-29,0.3538971970717079,0.0,0.0,100531.82677740788
2023-11-30,0.36071283998417975,0.0,0.0,100531.82677740788
2023-12-01,0.12193063080024523,0.0,0.0,100531.82677740788
2023-12-04,0.5773068626369865,0.0,0.0,100531.82677740788
2023-12-05,0.5223078079108593,0.0,0.0,100531.82677740788
2023-12-06,-0.27045326786009677,0.0,0.0,100531.82677740788
2023-12-07,-0.4695477403871544,0.0,0.0,100531.82677740788
2023-12-08,-0.04904390516853136,0.0,0.0,100531.82677740788
2023-12-11,-0.9900666409151553,0.0,0.0,100531.82677740788
2023-12-12,-0.8077351547339927,0.0,0.0,100531.82677740788
2023-12-13,-0.32915706676539846,0.0,0.0,100531.82677740788
2023-12-14,-0.4715398334609357,0.0,0.0,100531.82677740788
2023-12-15,-1.0891207283868898,0.0,0.0,100531.82677740788
2023-12-18,-3.2361342335228382,0.9978310361965643,0.0,100531.82677740788
2023-12-19,-2.1578717844059914,0.9740027534499801,0.002085077737268634,100741.44345130843
2023-12-20,-1.651889201965102,0.9679676478356554,0.0009673122577103036,100838.8918844183
2023-12-21,-1.383459375988951,0.9733628684445169,0.00040637582292157675,100879.87037209034
2023-12-22,-2.256028147526093,0.9663658919528625,-0.0029843178029514868,100578.81277897947
2023-12-26,-1.4293771122153902,0.9499308009499993,0.0019501489702096432,100774.95644714529
2023-12-27,-1.7098469025797278,0.9491785280920764,-0.0012416440361118907,100649.82982348325
2023-12-28,-1.3559423700360709,0.9498881161123542,0.0007558819128698156,100725.90920938025
2023-12-29,-1.3631821705481415,0.996293301387228,-0.00033761326732316177,100691.90280606797
2024-01-02,-0.5981349572469247,0.9752313247768716,0.002197353135991908,100913.15847446788
2024-01-03,0.02462532258815125,0.0,0.0012272866393085978,101037.00784559404
2024-01-04,0.741948424029083,0.0,0.0,101037.00784559404
2024-01-05,0.8835174564739267,0.0,0.0,101037.00784559404
2024-01-08,1.49597396576808,0.0,0.0,101037.00784559404
2024-01-09,1.6374618001765309,0.0,0.0,101037.00784559404
2024-01-10,0.44453610932380333,0.0,0.0,101037.00784559404
2024-01-11,0.6356141666564196,0.0,0.0,101037.00784559404
2024-01-12,-0.08668910940557838,0.0,0.0,101037.00784559404
2024-01-16,0.8510939202680898,0.0,0.0,101037.00784559404
2024-01-17,1.8798322516308115,0.0,0.0,101037.00784559404
2024-01-18,1.6295755129978309,0.0,0.0,101037.00784559404
2024-01-19,1.2538537757619181,0.0,0.0,101037.00784559404
2024-01-22,0.4668085201643671,0.0,0.0,101037.00784559404
2024-01-23,0.7985723192411586,0.0,0.0,101037.00784559404
2024-01-24,1.0152216992215257,0.0,0.0,101037.00784559404
2024-01-25,1.9378114223912237,0.0,0.0,101037.00784559404
2024-01-26,-0.9703169960222886,0.0,0.0,101037.00784559404
2024-01-29,1.314745808988329,0.0,0.0,101037.00784559404
2024-01-30,1.635255373225942,0.0,0.0,101037.00784559404
2024-01-31,-1.2266427452116009,0.0,0.0,101037.00784559404
2024-02-01,-2.3191401309227326,0.48797772167622233,0.0,101037.00784559404
