date,AAPL,ABBV,AMD,BAC,C,CL,COP,COST,CVX,GOOGL,GS,HD,JNJ,JPM,KO,LOW,MA,META,MRK,MS,MSFT,NVDA,PEP,PFE,PG,SLB,T,TGT,V,VZ,WFC,WMT,XOM
2016-02-02,21.2620897253,35.3694521783,1.99,10.5143079454,29.9012924213,51.3681409812,26.483741844,124.7090892332,51.9761610512,38.7237662512,122.479802788,97.2988388946,77.5584995405,43.37804763,30.7775189417,59.4740565935,80.8394296746,113.7262658467,35.0656113943,18.3989893336,46.2017157246,0.6837115045,71.2832286505,17.9464450465,60.5378629792,50.974715689,14.9666096742,53.3780979592,68.1548583194,28.9741653378,36.432483414,18.5026305223,47.4626817427
2016-02-03,21.6829206714,37.2641271884,2.07,10.3553614912,29.8569065345,51.8947115818,27.96028826,123.1974639092,54.1386355016,37.1602565639,123.2710368468,96.1493036383,78.1060065966,43.6670824906,30.9805751458,55.7915805696,81.3474395899,111.8210705721,34.8151924278,18.2638130854,45.4694621169,0.6871227522,71.6533991689,17.8452209039,61.2019532238,52.4482729845,15.2405409661,52.8392929873,69.0648278174,29.3863404007,35.7945605527,18.3393557391,49.9379442709
2016-02-04,21.8562040022,37.2116794372,2.09,10.5302025908,30.17500539,51.863274531,25.5645193203,120.3253757935,54.2473990095,36.2007287348,126.3471610962,94.0677127686,77.9260042768,44.4200943643,30.8427870073,56.2384428287,81.2157333155,109.6380343199,33.7996043969,18.7819887034,45.3299852392,0.6873664128,70.6880525229,17.4422449011,60.9000940217,52.2335334791,15.1616819579,50.9971624752,68.4148496045,29.2760400317,36.2833518207,18.3808662772,50.7969685416
2016-02-05,21.2724668766,34.8253067601,1.98,10.2917829095,29.4870241443,52.020459785,23.8129299445,120.9216280047,53.0254090094,34.8980519354,126.3310134623,90.4326958769,75.4059717997,43.925692629,30.7775189417,54.4840947004,77.8572233198,103.2675376204,34.3491349068,18.2863424601,43.7260011461,0.6439948348,70.6372448047,17.4602886027,61.2774180243,50.9525012574,15.306948552,50.6476673583,66.4277733538,29.5895252909,35.9900770599,18.5413736912,50.9560471102
2016-02-08,21.4964590295,34.6745194756,1.93,9.7513649652,27.9705063446,51.9261486326,24.9203397565,123.4661973001,55.0151414179,34.917887136,120.5017176408,86.8753502863,76.5009859118,43.0053447835,30.9298110948,52.5890677128,75.8722216136,98.9808482524,33.9665503746,17.0246974772,43.0722032821,0.6145119082,70.7824097139,17.1776039439,62.3490181917,51.6707678788,15.4024094568,50.9680378822,62.9271764074,29.4560037916,34.9673753298,18.5136999992,51.6432665268
2016-02-09,21.4919339355,35.0613216403,1.9,9.6957337063,27.7485769105,51.7768226414,24.3051120831,124.2388057991,53.051000423,34.7621808113,119.694335948,88.4365434385,76.4784856218,42.7467346451,31.4011915687,53.085581334,77.1140236288,98.7724675193,34.1961010939,17.2199520579,42.958878319,0.621090743,71.3340363687,17.5023905731,62.3641111518,50.2046153939,15.2114876473,50.8661018064,63.4471589777,29.1134921196,34.9297760015,18.2120567555,51.4205565307
2016-02-10,21.3290305516,34.5630680044,1.84,9.5208926066,27.6746004325,51.7218078025,23.4076034773,124.6670996409,53.1277746639,35.0512788601,118.8708066214,88.8015985537,76.298483302,42.2295143682,30.8572910219,53.0111042908,78.3746408261,100.2212097594,34.4534761428,17.0472268519,43.3337224277,0.6196287797,70.8549921685,17.7369586942,61.5943701865,50.1527817202,15.1201772167,50.0651754968,65.1371023311,29.0148023158,34.719219763,18.2065220171,50.9518126962
2016-02-11,21.2000653727,34.2090456842,1.86,8.8692121444,25.8769720163,50.6450888131,23.2556060521,123.4882145379,53.0957853968,35.0269807393,113.5905303509,87.978282762,76.275983012,40.3660001355,30.7557629198,52.4649393075,77.2457299032,101.1241929364,33.9804625394,16.2887379039,43.316287818,0.6164611926,70.3323984954,17.5204342748,60.2963756175,50.9673108785,15.028866786,49.5482139697,63.5771546203,28.6722906438,33.9597133311,18.0764556643,51.1123414066
2016-02-12,21.2656792357,34.4712844399,1.83,9.4970506385,27.7707698539,51.6353559128,23.9996687301,125.1723361136,54.6568616273,35.0532623801,117.9826867594,90.3472574457,76.3659841719,43.727931935,31.2634034301,53.6813976795,79.861040208,101.2234218569,34.1056720227,17.340108723,44.0223895111,0.6269385963,71.4864595234,17.6587693205,61.1189419432,52.4334633634,15.1367791131,51.3393764439,65.3878082132,29.0902709893,35.5764844485,18.3144494162,52.0305656304
2016-02-16,21.8652541902,35.080989547,1.83,9.7354703198,28.7694523074,51.7218078025,23.8975424802,125.559684076,54.9447650305,35.5863333963,120.3160198514,92.7628349101,76.7409890048,44.3820634616,31.4447036124,55.7998557966,81.0746194502,100.8265061747,34.6273782029,17.8132255915,44.8505334722,0.6576398256,71.5663002234,17.9294248448,61.4811729857,53.5073388754,15.2114876473,52.476989503,66.01921562,29.1657396628,36.2758319551,18.2369630784,52.1525674503
2016-02-17,22.2001111459,36.0643848809,1.9,9.9818373238,29.4278429619,52.7042156395,24.7364366759,127.0753934941,57.2122650612,36.2969294578,121.8661927015,94.1453840697,76.8759907447,44.7015230443,31.5389797072,56.2715437368,82.0436013257,104.3888244226,35.19777696,18.1962249613,46.0181046118,0.6739650825,72.255833542,17.8211626351,62.2207280308,54.3873201976,15.2073371732,52.9173558485,67.0127537454,29.2121819234,36.1931134328,18.2950778317,52.6534170269
2016-02-18,21.7792774042,35.7628103118,1.91,9.7275229971,28.7916452508,52.8299638426,24.583247301,125.1723361136,56.1886507616,35.5798869561,119.2744974678,93.182259936,78.1810075631,43.9713297123,31.6260037947,56.0398373802,80.9429131758,102.672164097,35.0030066527,17.9934605891,45.8161938132,0.7319562935,72.3066412602,17.7730460975,61.8660434684,54.2008834768,15.3526037673,53.2329517294,66.2777811581,29.5721094431,35.8923188063,17.7443713594,52.9423687057
2016-02-19,21.7295013703,35.5923551206,1.91,9.6401024473,28.8434287854,53.0185861473,23.9777845337,125.214439153,56.0396436168,35.807991763,118.6124444798,94.518206315,78.6835140392,43.9789358928,31.7420359113,56.7018555418,81.6484825027,103.7636822231,34.8638850046,18.0234997553,45.4913807894,0.7417027155,72.2776082784,17.7369586942,61.7226603474,54.3425753846,15.1782838543,53.0788235085,66.5475812218,29.5256671825,36.1630339701,17.8938092966,52.9744744478
2016-02-22,21.9195553181,36.241396041,2.01,9.9659426784,29.235504119,53.1364750878,25.1303522113,126.3596418245,57.5426722086,36.1521324934,120.1303220621,95.4191934079,79.129205987,44.5493994335,31.8653200353,57.4880021087,82.6174643782,106.3337112655,35.3160303608,18.4290284998,46.2200154103,0.768018055,72.4880973967,18.0737744578,61.9792406691,55.4611957095,15.2986476038,53.1889150949,67.9710091439,29.6475781166,36.990219193,18.1622441098,52.9038418152
2016-02-23,21.4240575255,36.1037206943,1.97,9.6639444154,28.2738099046,52.8142453173,24.0142581944,126.6122600608,55.0095507457,35.5689775957,116.9976810943,96.7240712664,78.6230812328,42.6858852007,31.684019853,56.1887914666,81.1028422233,104.6468196161,35.1560404656,17.8057158,44.9295420456,0.7699673394,72.2485752965,18.019643353,61.7377533075,53.7534353468,15.2488419144,54.3045098368,67.124395151,29.3921456833,36.1705538358,18.3974704924,52.1589885988
